ID,Species,Scientific.Name
1,Highland Tinamou,Nothocercus bonapartei
2,Great Tinamou,Tinamus major
3,Little Tinamou,Crypturellus soui
4,Thicket Tinamou,Crypturellus cinnamomeus
5,Slaty-breasted Tinamou,Crypturellus boucardi
6,Choco Tinamou,Crypturellus kerriae
7,White-faced Whistling-Duck,Dendrocygna viduata
8,Black-bellied Whistling-Duck,Dendrocygna autumnalis
9,West Indian Whistling-Duck,Dendrocygna arborea
10,Fulvous Whistling-Duck,Dendrocygna bicolor
11,Emperor Goose,Anser canagicus
12,Snow Goose,Anser caerulescens
13,Ross's Goose,Anser rossii
14,Graylag Goose,Anser anser
15,Greater White-fronted Goose,Anser albifrons
16,Lesser White-fronted Goose,Anser erythropus
17,Taiga Bean-Goose,Anser fabalis
18,Tundra Bean-Goose,Anser serrirostris
19,Pink-footed Goose,Anser brachyrhynchus
20,Brant,Branta bernicla
21,Barnacle Goose,Branta leucopsis
22,Cackling Goose,Branta hutchinsii
23,Canada Goose,Branta canadensis
24,Hawaiian Goose,Branta sandvicensis
25,Mute Swan,Cygnus olor
26,Trumpeter Swan,Cygnus buccinator
27,Tundra Swan,Cygnus columbianus
28,Whooper Swan,Cygnus cygnus
29,Comb Duck,Sarkidiornis melanotos
30,Orinoco Goose,Neochen jubata
31,Egyptian Goose,Alopochen aegyptiaca
32,Ruddy Shelduck,Tadorna ferruginea
33,Muscovy Duck,Cairina moschata
34,Wood Duck,Aix sponsa
35,Baikal Teal,Sibirionetta formosa
36,Garganey,Spatula querquedula
37,Blue-winged Teal,Spatula discors
38,Cinnamon Teal,Spatula cyanoptera
39,Northern Shoveler,Spatula clypeata
40,Gadwall,Mareca strepera
41,Falcated Duck,Mareca falcata
42,Eurasian Wigeon,Mareca penelope
43,American Wigeon,Mareca americana
44,Laysan Duck,Anas laysanensis
45,Hawaiian Duck,Anas wyvilliana
46,Eastern Spot-billed Duck,Anas zonorhyncha
47,Mallard,Anas platyrhynchos
48,American Black Duck,Anas rubripes
49,Mottled Duck,Anas fulvigula
50,White-cheeked Pintail,Anas bahamensis
51,Northern Pintail,Anas acuta
52,Green-winged Teal,Anas crecca
53,Canvasback,Aythya valisineria
54,Redhead,Aythya americana
55,Common Pochard,Aythya ferina
56,Ring-necked Duck,Aythya collaris
57,Tufted Duck,Aythya fuligula
58,Greater Scaup,Aythya marila
59,Lesser Scaup,Aythya affinis
60,Steller's Eider,Polysticta stelleri
61,Spectacled Eider,Somateria fischeri
62,King Eider,Somateria spectabilis
63,Common Eider,Somateria mollissima
64,Harlequin Duck,Histrionicus histrionicus
65,Labrador Duck,Camptorhynchus labradorius
66,Surf Scoter,Melanitta perspicillata
67,White-winged Scoter,Melanitta fusca
68,Common Scoter,Melanitta nigra
69,Black Scoter,Melanitta americana
70,Long-tailed Duck,Clangula hyemalis
71,Bufflehead,Bucephala albeola
72,Common Goldeneye,Bucephala clangula
73,Barrow's Goldeneye,Bucephala islandica
74,Smew,Mergellus albellus
75,Hooded Merganser,Lophodytes cucullatus
76,Common Merganser,Mergus merganser
77,Red-breasted Merganser,Mergus serrator
78,Masked Duck,Nomonyx dominicus
79,Ruddy Duck,Oxyura jamaicensis
80,Plain Chachalaca,Ortalis vetula
81,Gray-headed Chachalaca,Ortalis cinereiceps
82,Rufous-vented Chachalaca,Ortalis ruficauda
83,Rufous-bellied Chachalaca,Ortalis wagleri
84,West Mexican Chachalaca,Ortalis poliocephala
85,White-bellied Chachalaca,Ortalis leucogastra
86,Crested Guan,Penelope purpurascens
87,Black Guan,Chamaepetes unicolor
88,Highland Guan,Penelopina nigra
89,Horned Guan,Oreophasis derbianus
90,Great Curassow,Crax rubra
91,Helmeted Guineafowl,Numida meleagris
92,Tawny-faced Quail,Rhynchortyx cinctus
93,Mountain Quail,Oreortyx pictus
94,Bearded Wood-Partridge,Dendrortyx barbatus
95,Long-tailed Wood-Partridge,Dendrortyx macroura
96,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys
97,Banded Quail,Philortyx fasciatus
98,Northern Bobwhite,Colinus virginianus
99,Black-throated Bobwhite,Colinus nigrogularis
100,Crested Bobwhite,Colinus cristatus
101,Scaled Quail,Callipepla squamata
102,Elegant Quail,Callipepla douglasii
103,California Quail,Callipepla californica
104,Gambel's Quail,Callipepla gambelii
105,Montezuma Quail,Cyrtonyx montezumae
106,Ocellated Quail,Cyrtonyx ocellatus
107,Singing Quail,Dactylortyx thoracicus
108,Marbled Wood-Quail,Odontophorus gujanensis
109,Black-eared Wood-Quail,Odontophorus melanotis
110,Tacarcuna Wood-Quail,Odontophorus dialeucos
111,Black-breasted Wood-Quail,Odontophorus leucolaemus
112,Spotted Wood-Quail,Odontophorus guttatus
113,Chukar,Alectoris chukar
114,Gray Francolin,Francolinus pondicerianus
115,Black Francolin,Francolinus francolinus
116,Erckel's Francolin,Pternistis erckelii
117,Himalayan Snowcock,Tetraogallus himalayensis
118,Gray Partridge,Perdix perdix
119,Japanese Quail,Coturnix japonica
120,Red Junglefowl,Gallus gallus
121,Kalij Pheasant,Lophura leucomelanos
122,Ring-necked Pheasant,Phasianus colchicus
123,Indian Peafowl,Pavo cristatus
124,Ruffed Grouse,Bonasa umbellus
125,Greater Sage-Grouse,Centrocercus urophasianus
126,Gunnison Sage-Grouse,Centrocercus minimus
127,Spruce Grouse,Falcipennis canadensis
128,Willow Ptarmigan,Lagopus lagopus
129,Rock Ptarmigan,Lagopus muta
130,White-tailed Ptarmigan,Lagopus leucura
131,Dusky Grouse,Dendragapus obscurus
132,Sooty Grouse,Dendragapus fuliginosus
133,Sharp-tailed Grouse,Tympanuchus phasianellus
134,Greater Prairie-Chicken,Tympanuchus cupido
135,Lesser Prairie-Chicken,Tympanuchus pallidicinctus
136,Wild Turkey,Meleagris gallopavo
137,Ocellated Turkey,Meleagris ocellata
138,American Flamingo,Phoenicopterus ruber
139,Least Grebe,Tachybaptus dominicus
140,Pied-billed Grebe,Podilymbus podiceps
141,Atitlan Grebe,Podilymbus gigas
142,Horned Grebe,Podiceps auritus
143,Red-necked Grebe,Podiceps grisegena
144,Eared Grebe,Podiceps nigricollis
145,Western Grebe,Aechmophorus occidentalis
146,Clark's Grebe,Aechmophorus clarkii
147,Chestnut-bellied Sandgrouse,Pterocles exustus
148,Rock Pigeon,Columba livia
149,Pale-vented Pigeon,Patagioenas cayennensis
150,Scaled Pigeon,Patagioenas speciosa
151,Scaly-naped Pigeon,Patagioenas squamosa
152,White-crowned Pigeon,Patagioenas leucocephala
153,Red-billed Pigeon,Patagioenas flavirostris
154,Plain Pigeon,Patagioenas inornata
155,Band-tailed Pigeon,Patagioenas fasciata
156,Ring-tailed Pigeon,Patagioenas caribaea
157,Plumbeous Pigeon,Patagioenas plumbea
158,Ruddy Pigeon,Patagioenas subvinacea
159,Short-billed Pigeon,Patagioenas nigrirostris
160,Dusky Pigeon,Patagioenas goodsoni
161,Oriental Turtle-Dove,Streptopelia orientalis
162,African Collared-Dove,Streptopelia roseogrisea
163,European Turtle-Dove,Streptopelia turtur
164,Eurasian Collared-Dove,Streptopelia decaocto
165,Spotted Dove,Streptopelia chinensis
166,Zebra Dove,Geopelia striata
167,Passenger Pigeon,Ectopistes migratorius
168,Inca Dove,Columbina inca
169,Common Ground-Dove,Columbina passerina
170,Plain-breasted Ground-Dove,Columbina minuta
171,Ruddy Ground-Dove,Columbina talpacoti
172,Blue Ground-Dove,Claravis pretiosa
173,Maroon-chested Ground-Dove,Claravis mondetoura
174,Blue-headed Quail-Dove,Starnoenas cyanocephala
175,Crested Quail-Dove,Geotrygon versicolor
176,Ruddy Quail-Dove,Geotrygon montana
177,Violaceous Quail-Dove,Geotrygon violacea
178,Gray-fronted Quail-Dove,Geotrygon caniceps
179,White-fronted Quail-Dove,Geotrygon leucometopia
180,Key West Quail-Dove,Geotrygon chrysia
181,Bridled Quail-Dove,Geotrygon mystacea
182,Olive-backed Quail-Dove,Leptotrygon veraguensis
183,White-tipped Dove,Leptotila verreauxi
184,Caribbean Dove,Leptotila jamaicensis
185,Gray-chested Dove,Leptotila cassinii
186,Gray-headed Dove,Leptotila plumbeiceps
187,Grenada Dove,Leptotila wellsi
188,Tuxtla Quail-Dove,Zentrygon carrikeri
189,Buff-fronted Quail-Dove,Zentrygon costaricensis
190,Purplish-backed Quail-Dove,Zentrygon lawrencii
191,White-faced Quail-Dove,Zentrygon albifacies
192,Chiriqui Quail-Dove,Zentrygon chiriquensis
193,Russet-crowned Quail-Dove,Zentrygon goldmani
194,White-winged Dove,Zenaida asiatica
195,Zenaida Dove,Zenaida aurita
196,Eared Dove,Zenaida auriculata
197,Mourning Dove,Zenaida macroura
